Term:家人,Freq:21,TF:0.00072468,IDF:2.34650944,TF×IDF:0.00170048
Term:我的天,Freq:20,TF:0.00069017,IDF:2.42223016,TF×IDF:0.00167177
Term:工人,Freq:21,TF:0.00072468,IDF:2.29729142,TF×IDF:0.00166481
Term:密接,Freq:19,TF:0.00065566,IDF:2.51400053,TF×IDF:0.00164835
Term:本土,Freq:19,TF:0.00065566,IDF:2.48917695,TF×IDF:0.00163207
Term:管控,Freq:19,TF:0.00065566,IDF:2.46569585,TF×IDF:0.00161668
Term:点赞,Freq:19,TF:0.00065566,IDF:2.44341946,TF×IDF:0.00160207
Term:治疗,Freq:19,TF:0.00065566,IDF:2.44341946,TF×IDF:0.00160207
Term:重视,Freq:19,TF:0.00065566,IDF:2.44341946,TF×IDF:0.00160207
Term:鸡蛋,Freq:19,TF:0.00065566,IDF:2.44341946,TF×IDF:0.00160207
Term:长春,Freq:19,TF:0.00065566,IDF:2.44341946,TF×IDF:0.00160207
Term:解决,Freq:19,TF:0.00065566,IDF:2.42223016,TF×IDF:0.00158818
Term:音乐,Freq:18,TF:0.00062116,IDF:2.54032947,TF×IDF:0.00157795
Term:老百姓,Freq:18,TF:0.00062116,IDF:2.54032947,TF×IDF:0.00157795
Term:超市,Freq:18,TF:0.00062116,IDF:2.54032947,TF×IDF:0.00157795
Term:东北,Freq:19,TF:0.00065566,IDF:2.38272162,TF×IDF:0.00156227
Term:恭喜,Freq:18,TF:0.00062116,IDF:2.51400053,TF×IDF:0.00156159
Term:确实,Freq:18,TF:0.00062116,IDF:2.48917695,TF×IDF:0.00154617
Term:公布,Freq:18,TF:0.00062116,IDF:2.48917695,TF×IDF:0.00154617
Term:稳住,Freq:18,TF:0.00062116,IDF:2.48917695,TF×IDF:0.00154617
Term:解封,Freq:18,TF:0.00062116,IDF:2.46569585,TF×IDF:0.00153159
Term:司机,Freq:18,TF:0.00062116,IDF:2.46569585,TF×IDF:0.00153159
Term:大学生,Freq:18,TF:0.00062116,IDF:2.46569585,TF×IDF:0.00153159
Term:冬天,Freq:18,TF:0.00062116,IDF:2.46569585,TF×IDF:0.00153159
Term:潜伏期,Freq:17,TF:0.00058665,IDF:2.59832142,TF×IDF:0.00152431
Term:宗教,Freq:17,TF:0.00058665,IDF:2.54032947,TF×IDF:0.00149028
Term:医生,Freq:17,TF:0.00058665,IDF:2.51400053,TF×IDF:0.00147484
Term:免费,Freq:17,TF:0.00058665,IDF:2.51400053,TF×IDF:0.00147484
Term:症状,Freq:24,TF:0.00082821,IDF:1.78066163,TF×IDF:0.00147476
Term:勤洗手,Freq:17,TF:0.00058665,IDF:2.48917695,TF×IDF:0.00146028
Term:严防严控,Freq:17,TF:0.00058665,IDF:2.48917695,TF×IDF:0.00146028
Term:管理,Freq:17,TF:0.00058665,IDF:2.48917695,TF×IDF:0.00146028
Term:终于,Freq:17,TF:0.00058665,IDF:2.48917695,TF×IDF:0.00146028
Term:发展,Freq:17,TF:0.00058665,IDF:2.48917695,TF×IDF:0.00146028
Term:零下,Freq:17,TF:0.00058665,IDF:2.48917695,TF×IDF:0.00146028
Term:注意安全,Freq:17,TF:0.00058665,IDF:2.48917695,TF×IDF:0.00146028
Term:国泰民安,Freq:17,TF:0.00058665,IDF:2.48917695,TF×IDF:0.00146028
Term:11,Freq:18,TF:0.00062116,IDF:2.32947610,TF×IDF:0.00144697
Term:想要,Freq:17,TF:0.00058665,IDF:2.46569585,TF×IDF:0.0014465
Term:30,Freq:18,TF:0.00062116,IDF:2.31308569,TF×IDF:0.00143679
Term:企业,Freq:16,TF:0.00055214,IDF:2.56835819,TF×IDF:0.0014181
Term:👍,Freq:16,TF:0.00055214,IDF:2.56835819,TF×IDF:0.0014181
Term:望奎县,Freq:16,TF:0.00055214,IDF:2.56835819,TF×IDF:0.0014181
Term:封城,Freq:17,TF:0.00058665,IDF:2.40202677,TF×IDF:0.00140915
Term:战胜,Freq:16,TF:0.00055214,IDF:2.54032947,TF×IDF:0.00140262
